,EventTemplate,Occurrences
56,Times: total = 1077; boot = 865; init = 206; finish = 6,1
57,"Block {rdd_2_2} stored as bytes in memory (estimated size {850.0 B}, free {320.3 KB})",1
58,"Block {rdd_2_3} stored as bytes in memory (estimated size {930.0 B}, free {321.2 KB})",1
59,"Block {rdd_2_1} stored as bytes in memory (estimated size {935.0 B}, free {322.1 KB})",1
60,"Block {rdd_2_0} stored as bytes in memory (estimated size {913.0 B}, free {323.0 KB})",1
61,"Block {rdd_2_4} stored as bytes in memory (estimated size {890.0 B}, free {323.8 KB})",1
62,Times: total = 38; boot = 11; init = 27; finish = 0,1
63,Times: total = 42; boot = 12; init = 30; finish = 0,1
64,Times: total = 41; boot = 15; init = 26; finish = 0,1
65,Times: total = 40; boot = 7; init = 33; finish = 0,1
66,Times: total = 42; boot = 13; init = 28; finish = 1,4
67,Finished task {result_sent} in stage {stage}. {TID},8
68,Finished task {total} in stage {stage}. {result} bytes result sent to driver,46
69,Running task {42} in stage {1}.{0},1
70,Running task {stage}.{tid} locally,123
71,Running task {2.0} in stage {1.0} (TID {69}),1
72,Running task {78},1
73,Running task {4.0} in stage {1.0} (TID {79}),1
74,"Block broadcast_10_piece0 stored as bytes in memory (estimated size {5.8 KB}, free {329.6 KB})",1
75,"Block broadcast_10 stored as values in memory (estimated size {size}, free {free})",1
76,Found block {rdd_2_0} locally,17
77,Found block {rdd_2_3} locally,17
78,Found block {rdd_2_4} locally,17
79,Found block {rdd_2_2} locally,17
80,Found block {rdd_2_1} locally,17
81,Times: total = 42; boot = -4131; init = 4172; finish = 1,1
82,"Times: total = {41}, boot = {-4122}, init = {4162}, finish = {1}",1
83,Times: total = 42; boot = -4121; init = 4162; finish = 1,1
84,Times: total = 42; boot = -4138; init = 4179; finish = 1,1
85,Times: total = 42; boot = -4134; init = 4175; finish = 1,1
86,Finished task {total} in stage {stage}.{TID} 2474 bytes result sent to driver,1
87,Finished task {2.0} in stage {1.0} (TID {69}). 2523 bytes result sent to driver,1
88,Running task {0}.0 in stage {2}.0 (TID {87}),1
89,112,1
90,Running task {task} in stage {stage} (TID {tid}),9
91,"Note: The input log message may contain placeholders for variables that are not present in the output template, so you should use curly braces to indicate the absence of a variable in the output template.",16
92,Got assigned task ,8
93,"Block broadcast_11_piece0 stored as bytes in memory (estimated size {5.4 KB}, free {344.7 KB})",1
94,"Block broadcast_11 stored as values in memory (estimated size {size}, free {free})",1
95,"Times: total = 39, boot = -147; init = 186; finish = 0",2
96,Times: total = 41; boot = -139; init = 179; finish = 1,1
97,Times: total = 38; boot = -156; init = 194; finish = 0,1
98,"Times: total = 39, boot = -159, init = 198, finish = {finish}",1
99,Finished task {total} in stage {stage}. {bytes} result sent to driver,109
100,"Block broadcast_12_piece0 stored as bytes in memory (estimated size {5.6 KB}, free {359.4 KB})",1
101,"Block broadcast_12 stored as values in memory (estimated size {size}, free {free})",1
102,"Note: The log messages are generated using a simple logging framework, so the templates may be simple or complex, and may contain placeholders for dynamic values.",1
103,"Partition {rdd_6_3} not found, computing it",1
104,"Partition {rdd_6_0} not found, computing it",1
105,"Partition {rdd_6_1} not found, computing it",1
106,"Partition {rdd_6_2} not found, computing it",1
107,Times: total = 38; boot = -170; init = 208; finish = 0,1
108,Times: total = 41; boot = -171; init = 212; finish = 0,1
109,Times: total = 41; boot = -160; init = 200; finish = 1,1
110,Times: total = 38; boot = -172; init = 210; finish = 0,1
111,Times: total = 40; boot = -173; init = 213; finish = 0,1
112,"Block {rdd_6_4} stored as bytes in memory (estimated size {287.0 B}, free {369.5 KB})",1
113,"Block {rdd_6_3} stored as bytes in memory (estimated size {344.0 B}, free {369.9 KB})",1
114,"Block {rdd_6_1} stored as bytes in memory (estimated size {330.0 B}, free {370.2 KB})",1
115,"Block {rdd_6_2} stored as bytes in memory (estimated size {252.0 B}, free {370.4 KB})",1
116,"Block {rdd_6_0} stored as bytes in memory (estimated size {265.0 B}, free {370.7 KB})",1
117,Times: total = 38; boot = 14; init = 24; finish = 0,2
118,Times: total = 38; boot = 12; init = 26; finish = 0,2
119,Times: total = 41; boot = 19; init = 22; finish = 0,3
120,Times: total = 41; boot = 16; init = 25; finish = 0,3
121,Times: total = 40; boot = 5; init = 35; finish = 0,1
122,198,1
123,"Block broadcast_13_piece0 stored as bytes in memory (estimated size {5.7 KB}, free {376.4 KB})",1
124,Reading broadcast variable {time_ms},1
125,"Block broadcast_13 stored as values in memory (estimated size {size}, free {free})",1
126,Found block {rdd_6_0} locally,2
127,Found block {rdd_6_4} locally,2
128,Found block {rdd_6_3} locally,2
129,Found block {rdd_6_2} locally,2
130,Found block {rdd_6_1} locally,2
131,"Times: total = 39, boot = -141, init = 180, finish = {finish}",1
132,Times: total = 40; boot = -129; init = 169; finish = 0,1
133,Times: total = 41; boot = -134; init = 175; finish = 0,1
134,"Times: total = 39, boot = -123, init = 162, finish = {finish}",1
135,Finished task {result_sent} in stage {stage}. {total} bytes result sent to driver,1
136,Running task {0}.0 in stage {5}.0 (TID {206}),1
137,Running task {2.0} in stage {5.0} (TID {231}),1
138,Running task {3.0} in stage {5.0} (TID {238}),1
139,Running task {4.0} in stage {5.0} (TID {239}),1
140,"Block broadcast_14_piece0 stored as bytes in memory (estimated size {5.8 KB}, free {392.3 KB})",1
141,"Block broadcast_14 stored as values in memory (estimated size {size}, free {free}",1
142,"Times: total = 39, boot = -85, init = 123, finish = 1",1
143,Times: total = 40; boot = -77; init = 117; finish = 0,1
144,"Times: total = 39, boot = -81, init = 119, finish = 1",1
145,Times: total = 40; boot = -78; init = 117; finish = 1,1
146,Finished task {2.0} in stage {5.0} (TID {231}). {2198} bytes result sent to driver,1
147,Running task {0}.0 in stage {6}.0 (TID {247}),1
148,Running task {2.0} in stage {6.0} (TID {273}),1
149,Running task {3.0} in stage {6.0} (TID {278}),1
150,Running task {4.0} in stage {6.0} (TID {279}),1
151,"Block broadcast_15_piece0 stored as bytes in memory (estimated size {5.4 KB}, free {407.4 KB})",1
152,"Block broadcast_15 stored as values in memory (estimated size {size}, free {free})",1
153,"Times: total = 39, boot = -107, init = 146, finish = {finish}",1
154,Times: total = 41; boot = -100; init = 141; finish = 0,1
155,"Times: total = 39, boot = -103, init = 142, finish = {finish}",2
156,Finished task {2.0} in stage {6.0} (TID {273}). {2087} bytes result sent to driver,1
157,Finished task {result_sent_to_driver} in stage {stage}.,1
158,Running task {0}.0 in stage {7}.0 (TID {285}),1
159,Running task {2.0} in stage {7.0} (TID {312}),1
160,Running task {3.0} in stage {7.0} (TID {318}),1
161,Running task {4.0} in stage {7.0} (TID {319}),1
162,"Block broadcast_16_piece0 stored as bytes in memory (estimated size {5.6 KB}, free {422.1 KB})",1
163,"Block broadcast_16 stored as values in memory (estimated size {size}, free {free})",1
164,"Partition {rdd_11_0} not found, computing it",1
165,"Partition {rdd_11_4} not found, computing it",1
166,"Partition {rdd_11_3} not found, computing it",1
167,"Partition {rdd_11_2} not found, computing it",1
168,"Partition {rdd_11_1} not found, computing it",1
169,"Times: total = 39, boot = -110, init = 149, finish = {finish}",1
170,"Times: total = 39, boot = -105, init = 144, finish = {finish}",1
171,Times: total = 41; boot = -107; init = 148; finish = 0,2
172,"Block {rdd_11_0} stored as bytes in memory (estimated size {152.0 B}, free {432.1 KB})",1
173,"Block {rdd_11_3} stored as bytes in memory (estimated size {157.0 B}, free {432.3 KB})",1
174,"Block {rdd_11_4} stored as bytes in memory (estimated size {145.0 B}, free {432.4 KB})",1
175,"Block {rdd_11_2} stored as bytes in memory (estimated size {199.0 B}, free {432.6 KB})",1
176,"Block {rdd_11_1} stored as bytes in memory (estimated size {160.0 B}, free {432.7 KB})",1
177,Times: total = 38; boot = 17; init = 21; finish = 0,1
178,Times: total = 41; boot = 28; init = 13; finish = 0,1
179,Times: total = 38; boot = 18; init = 20; finish = 0,5
180,Times: total = 40; boot = 19; init = 21; finish = 0,3
181,Times: total = 41; boot = 17; init = 24; finish = 0,3
182,Finished task {result_sent} in stage {stage}. ({TID}),55
183,Finished task {2.0} in stage {7.0} (TID {312}). {2667} bytes result sent to driver,1
184,Running task {0.0} in stage {8.0} (TID {321}),1
185,Running task {2.0} in stage {8.0} (TID {349}),1
186,Running task {3.0} in stage {8.0} (TID {358}),1
187,Running task {4.0} in stage {8.0} (TID {359}),1
188,"Block broadcast_17_piece0 stored as bytes in memory (estimated size {5.7 KB}, free {438.5 KB})",1
189,"Block broadcast_17 stored as values in memory (estimated size {size}, free {free})",1
190,Found block {rdd_11_0} locally,2
191,Found block {rdd_11_4} locally,2
192,Found block {rdd_11_3} locally,2
193,Found block {rdd_11_2} locally,2
194,Found block {rdd_11_1} locally,2
195,"Times: total = 39, boot = -109, init = 148, finish = {finish}",1
196,Times: total = 41; boot = -104; init = 144; finish = 1,1
197,Times: total = 42; boot = -107; init = 149; finish = 0,1
198,Finished task {result_sent} in stage {stage}.{TID},8
199,Running task {0}.{0} in stage {1}.{0} (TID {360}),1
200,Running task {2.0} in stage {9.0} (TID {388}),1
201,Running task {3.0} in stage {9.0} (TID {398}),1
202,Running task {4.0} in stage {9.0} (TID {399}),1
203,"Block broadcast_18_piece0 stored as bytes in memory (estimated size {size}, free {free})",1
204,"Block broadcast_18 stored as values in memory (estimated size {size}, free {free})",1
205,"Times: total = 39, boot = -73, init = 111, finish = 1",2
206,Times: total = 40; boot = -75; init = 114; finish = 1,2
207,Times: total = 41; boot = -75; init = 115; finish = 1,1
208,Running task {stage} in TID {tid},21
209,439,1
210,Running task {stage}.{tid},3
211,"Block broadcast_19_piece0 stored as bytes in memory (estimated size {5.4 KB}, free {469.4 KB})",1
212,"Block broadcast_19 stored as values in memory (estimated size {size}, free {free})",1
213,"Times: total = 39, boot = -124, init = 163, finish = {finish}",1
214,Times: total = 41; boot = -126; init = 167; finish = 0,1
215,Times: total = 40; boot = -127; init = 167; finish = 0,1
216,Times: total = 41; boot = -115; init = 155; finish = 1,1
217,"Block broadcast_20_piece0 stored as bytes in memory (estimated size {5.5 KB}, free {416.7 KB})",1
218,"Block broadcast_20 stored as values in memory (estimated size {size}, free {free})",1
219,"Partition {rdd_16_0} not found, computing it",1
220,"Partition {rdd_16_4} not found, computing it",1
221,"Partition {rdd_16_3} not found, computing it",1
222,"Partition {rdd_16_2} not found, computing it",1
223,"Partition {rdd_16_1} not found, computing it",1
224,Times: total = 40; boot = -95; init = 135; finish = 0,3
225,"Times: total = 39, boot = -96, init = 135, finish = {finish}",2
226,"Block {rdd_16_4} stored as bytes in memory (estimated size {263.0 B}, free {386.4 KB})",1
227,"Block {rdd_16_0} stored as bytes in memory (estimated size {191.0 B}, free {386.6 KB})",1
228,"Block {rdd_16_3} stored as bytes in memory (estimated size {232.0 B}, free {386.8 KB})",1
229,"Block {rdd_16_2} stored as bytes in memory (estimated size {230.0 B}, free {387.0 KB})",1
230,"Block {rdd_16_1} stored as bytes in memory (estimated size {351.0 B}, free {387.4 KB})",1
231,Times: total = 39; boot = 22; init = 17; finish = 0,1
232,Times: total = 41; boot = 20; init = 21; finish = 0,2
233,Times: total = 40; boot = 20; init = 20; finish = 0,3
234,Times: total = 40; boot = 26; init = 14; finish = 0,2
235,494,1
236,"Block broadcast_21_piece0 stored as bytes in memory (estimated size {5.7 KB}, free {393.1 KB})",1
237,"Block broadcast_21 stored as values in memory (estimated size {size}, free {free})",1
238,Found block {rdd_16_0} locally,2
239,Found block {rdd_16_4} locally,2
240,Found block {rdd_16_3} locally,2
241,Found block {rdd_16_2} locally,2
242,What do you think the output should be?,2
243,Times: total = 37; boot = -162; init = 199; finish = 0,1
244,Times: total = 40; boot = -157; init = 197; finish = 0,1
245,"Times: total = 39, boot = -157, init = 196, finish = {finish}",1
246,Times: total = 38; boot = -146; init = 184; finish = 0,1
247,Times: total = 40; boot = -156; init = 196; finish = 0,1
248,Finished task {2.0} in stage {12.0} (TID {508}). {2155} bytes result sent to driver,1
249,"Block broadcast_22_piece0 stored as bytes in memory (estimated size {5.8 KB}, free {409.0 KB})",1
250,"Block broadcast_22 stored as values in memory (estimated size {size}, free {free}",1
251,"Times: total = 39, boot = -76, init = 114, finish = 1",1
252,Times: total = 41; boot = -67; init = 107; finish = 1,2
253,Times: total = 40; boot = -74; init = 113; finish = 1,1
254,Finished task {total} in stage {stage}.{total} bytes result sent to driver,1
255,Finished task {2.0} in stage {13.0} (TID {553}). {2241} bytes result sent to driver,1
256,599,1
257,"Block broadcast_23_piece0 stored as bytes in memory (estimated size {5.4 KB}, free {378.2 KB})",1
258,"Block broadcast_23 stored as values in memory (estimated size {size}, free {free})",1
259,"Times: total = 39, boot = -90, init = 129, finish = {finish}",2
260,Times: total = 40; boot = -93; init = 133; finish = 0,1
261,Times: total = 38; boot = -82; init = 120; finish = 0,1
262,Finished task {result_sent} in stage {stage}.,10
263,"Block broadcast_24_piece0 stored as bytes in memory (estimated size {5.6 KB}, free {393.0 KB})",1
264,"Block broadcast_24 stored as values in memory (estimated size {size}, free {free}",1
265,"Partition {rdd_21_1} not found, computing it",1
266,"Partition {rdd_21_4} not found, computing it",1
267,"Partition {rdd_21_3} not found, computing it",1
268,"Partition {rdd_21_2} not found, computing it",1
269,"Partition {rdd_21_0} not found, computing it",1
270,Times: total = 41; boot = -98; init = 139; finish = 0,1
271,Times: total = 40; boot = -99; init = 139; finish = 0,1
272,"Block {rdd_21_1} stored as bytes in memory (estimated size {162.0 B}, free {403.0 KB})",1
273,"Block {rdd_21_4} stored as bytes in memory (estimated size {200.0 B}, free {403.2 KB})",1
274,"Block {rdd_21_3} stored as bytes in memory (estimated size {194.0 B}, free {403.4 KB})",1
275,"Block {rdd_21_2} stored as bytes in memory (estimated size {163.0 B}, free {403.5 KB})",1
276,"Block {rdd_21_0} stored as bytes in memory (estimated size {244.0 B}, free {403.8 KB})",1
277,Times: total = 38; boot = 19; init = 19; finish = 0,2
278,Times: total = 39; boot = 20; init = 19; finish = 0,2
279,Times: total = 40; boot = 17; init = 23; finish = 0,1
280,Finished task {2.0} in stage {15.0} (TID {636}). {2667} bytes result sent to driver,1
281,679,1
282,"Block broadcast_25_piece0 stored as bytes in memory (estimated size {5.7 KB}, free {409.5 KB})",1
283,"Block broadcast_25 stored as values in memory (estimated size {size}, free {free})",1
284,Found block {rdd_21_0} locally,2
285,Found block {rdd_21_4} locally,2
286,Found block {rdd_21_3} locally,2
287,Found block {rdd_21_2} locally,2
288,Found block {rdd_21_1} locally,2
289,"Times: total = 39, boot = -104, init = 143, finish = {finish}",1
290,Times: total = 41; boot = -104; init = 145; finish = 0,1
291,"Times: total = 39, boot = -106, init = 145, finish = {finish}",2
292,Times: total = 43; boot = -104; init = 146; finish = 1,1
293,Running task {2.0} in stage {17.0} (TID {716}),1
294,"Block broadcast_26_piece0 stored as bytes in memory (estimated size {5.8 KB}, free {379.9 KB})",1
295,"Block broadcast_26 stored as values in memory (estimated size {size}, free {free})",1
296,Times: total = 40; boot = -71; init = 110; finish = 1,1
297,Finished task {2.0} in stage {17.0} (TID {716}). {2156} bytes result sent to driver,1
298,"Block broadcast_27_piece0 stored as bytes in memory (estimated size {5.4 KB}, free {395.0 KB})",1
299,"Block broadcast_27 stored as values in memory (estimated size {size}, free {free}",1
300,Times: total = 38; boot = -77; init = 115; finish = 0,1
301,Times: total = 40; boot = -76; init = 115; finish = 1,1
302,Times: total = 40; boot = -75; init = 115; finish = 0,1
303,Running task {762} in stage {19.0},1
304,"Block broadcast_28_piece0 stored as bytes in memory (estimated size {5.6 KB}, free {409.8 KB})",1
305,"Block broadcast_28 stored as values in memory (estimated size {size}, free {free})",1
306,"Partition {rdd_26_0} not found, computing it",1
307,"Partition {rdd_26_4} not found, computing it",1
308,"Partition {rdd_26_3} not found, computing it",1
309,"Partition {rdd_26_2} not found, computing it",1
310,"Partition {rdd_26_1} not found, computing it",1
311,Times: total = 40; boot = -79; init = 119; finish = 0,1
312,"Block {rdd_26_0} stored as bytes in memory (estimated size {16.0 B}, free {419.6 KB})",1
313,"Block {rdd_26_3} stored as bytes in memory (estimated size {16.0 B}, free {419.6 KB})",1
314,"Block {rdd_26_4} stored as bytes in memory (estimated size {16.0 B}, free {419.6 KB})",1
315,"Block {rdd_26_2} stored as bytes in memory (estimated size {16.0 B}, free {419.7 KB})",1
316,"Block {rdd_26_1} stored as bytes in memory (estimated size {16.0 B}, free {419.7 KB})",1
317,Times: total = 38; boot = 23; init = 15; finish = 0,3
318,Times: total = 41; boot = 23; init = 18; finish = 0,2
319,Times: total = 39; boot = 18; init = 21; finish = 0,3
320,Finished task {2.0} in stage {19.0} (TID {789}). {2667} bytes result sent to driver,1
321,807,1
322,Running task {807} in stage {20.0},1
323,Running task {2.0} in stage {20.0} (TID {833}),1
324,839,1
325,"Block broadcast_29_piece0 stored as bytes in memory (estimated size {5.7 KB}, free {379.5 KB})",1
326,"Block broadcast_29 stored as values in memory (estimated size {size}, free {free})",1
327,Found block {rdd_26_0} locally,2
328,Found block {rdd_26_4} locally,2
329,Found block {rdd_26_3} locally,2
330,Found block {rdd_26_2} locally,2
331,Found block {rdd_26_1} locally,2
332,Times: total = 38; boot = -119; init = 157; finish = 0,2
333,"Times: total = 39, boot = -126, init = 165, finish = {finish}",1
334,Times: total = 40; boot = -111; init = 151; finish = 0,1
335,Times: total = 41; boot = -110; init = 151; finish = 0,1
336,Running task {853},1
337,Running task {2.0} in stage {21.0} (TID {877}),1
338,"Block broadcast_30_piece0 stored as bytes in memory (estimated size {5.8 KB}, free {380.0 KB})",1
339,Reading broadcast variable {broadcast_variable} took {ms},1
340,"Block broadcast_30 stored as values in memory (estimated size {size}, free {free})",1
341,Times: total = 38; boot = -59; init = 96; finish = 1,1
342,"Times: total = 39, boot = -59, init = 98, finish = {0}",1
343,Times: total = 41; boot = -59; init = 100; finish = 0,1
344,Times: total = 41; boot = -59; init = 99; finish = 1,1
345,Times: total = 41; boot = -58; init = 98; finish = 1,1
346,Finished task {3.0} in stage {21.0} (TID {878}). {2333} bytes result sent to driver,1
347,Finished task {2.0} in stage {21.0} (TID {877}). {2333} bytes result sent to driver,1
348,886,1
349,Running task {886} in stage {22.0},1
350,Running task {2.0} in stage {22.0} (TID {912}),1
351,"Block broadcast_31_piece0 stored as bytes in memory (estimated size {5.6 KB}, free {395.3 KB})",1
352,"Block broadcast_31 stored as values in memory (estimated size {size}, free {free})",1
353,"Partition {rdd_30_0} not found, computing it",1
354,"Partition {rdd_30_4} not found, computing it",1
355,"Partition {rdd_30_3} not found, computing it",1
356,"Partition {rdd_30_2} not found, computing it",1
357,"Partition {rdd_30_1} not found, computing it",1
358,"Times: total = 39, boot = -86, init = 125, finish = {finish}",3
359,"Block {30} stored as bytes in memory (estimated size {324.0 B}, free {405.4 KB})",1
360,"Block {rdd_30_1} stored as bytes in memory (estimated size {165.0 B}, free {405.6 KB})",1
361,"Block {rdd_30_2} stored as bytes in memory (estimated size {250.0 B}, free {405.8 KB})",1
362,"Block {rdd_30_4} stored as bytes in memory (estimated size {226.0 B}, free {406.0 KB})",1
363,"Block {rdd_30_3} stored as bytes in memory (estimated size {251.0 B}, free {406.3 KB})",1
364,Times: total = 39; boot = 21; init = 18; finish = 0,1
365,Times: total = 41; boot = 18; init = 23; finish = 0,2
366,Times: total = 40; boot = 18; init = 22; finish = 0,2
367,Finished task {2.0} in stage {22.0} (TID {912}). {2667} bytes result sent to driver,1
368,Finished task {3.0} in stage {22.0} (TID {918}). {2667} bytes result sent to driver,1
369,Running task {926} in stage {23.0},1
370,"Block broadcast_32_piece0 stored as bytes in memory (estimated size {5.7 KB}, free {406.3 KB})",1
371,"Block broadcast_32 stored as values in memory (estimated size {size}, free {free})",1
372,Found block {rdd_30_0} locally,2
373,Found block {rdd_30_3} locally,2
374,Found block {rdd_30_2} locally,2
375,Found block {rdd_30_1} locally,2
376,Found block {rdd_30_4} locally,2
377,"Times: total = 39, boot = -134; init = 173; finish = 0",1
378,Times: total = 40; boot = -130; init = 170; finish = 0,1
379,Times: total = 40; boot = -132; init = 172; finish = 0,1
380,Times: total = 42; boot = -132; init = 173; finish = 1,1
381,Times: total = 40; boot = -129; init = 168; finish = 1,1
382,Finished task {2.0} in stage {23.0} (TID {951}). {2223} bytes result sent to driver,1
383,Running task {970} in stage {24.0},1
384,1012,1
385,1026,1
386,"Block broadcast_33_piece0 stored as bytes in memory (estimated size {estimatedSize}, free {freeSpace})",1
387,"Block broadcast_{33} stored as values in memory (estimated size {size}, free {free})",1
388,File Output Committer Algorithm version is {1},30
389,Times: total = 40; boot = -340; init = 380; finish = 0,1
390,Times: total = 40; boot = -337; init = 376; finish = 1,1
391,Times: total = 42; boot = -343; init = 384; finish = 1,1
392,Times: total = 39; boot = -342; init = 381; finish = 0,1
393,Times: total = 41; boot = -343; init = 384; finish = 0,1
394,Please provide the input log's template delimited by backticks.,30
395,Committed,30
396,Finished task {2.0} in stage {24.0} (TID {998}). {2364} bytes result sent to driver,1
397,1125,1
398,1126,1
399,Running task {42}.{0} in stage {24}.{0} (TID {1127}),1
400,1128,1
401,Running task {43.0} in stage {24.0} (TID {1128}),1
402,"Times: total = 39, boot = -397, init = 436, finish = {finish}",1
403,Times: total = 38; boot = -405; init = 443; finish = 0,1
404,Times: total = 40; boot = -400; init = 440; finish = 0,1
405,Times: total = 38; boot = -390; init = 428; finish = 0,1
406,Times: total = 41; boot = -398; init = 439; finish = 0,1
407,Finished task {42}.0 in stage {24}.0 (TID {1127}). {2364} bytes result sent to driver,1
408,1136,1
409,Running task {82.0} in stage {24.0} (TID {1137}),1
410,1138,1
411,Running task {83.0} in stage {24.0} (TID {1138}),1
412,Running task {84.0} in stage {24.0} (TID {1141}),1
413,Times: total = 37; boot = -87; init = 124; finish = 0,1
414,Times: total = 39; boot = -79; init = 118; finish = 0,1
415,Running task {120.0} in stage {24.0} (TID {1145}),1
416,1146,1
417,Running task {num} in stage {stage} (TID {tid}),4
418,Running task {122.0} in stage {24.0} (TID {1147}),1
419,Running task {123}.0 in stage {24}.0 (TID {1150}),1
420,1151,1
421,Running task {124}.0 in stage {24}.0 (TID {1151}),1
422,Times: total = 40; boot = -82; init = 122; finish = 0,1
423,1155,1
424,Running task {160.0} in stage {24.0} (TID {1155}),1
425,"Times: total = 39, boot = -102, init = 141, finish = {finish}",1
426,Times: total = 38; boot = -112; init = 150; finish = 0,1
427,Times: total = 40; boot = -107; init = 147; finish = 0,1
428,Times: total = 40; boot = -116; init = 156; finish = 0,1
429,Finished task {123}.0 in stage {24}.0 (TID {1150}). {2364} bytes result sent to driver,1
430,1156,1
431,1157,1
432,1159,1
433,Running task {164.0} in stage {24.0} (TID {1159}),1
434,Times: total = 38; boot = -62; init = 100; finish = 0,1
435,Times: total = 38; boot = -45; init = 83; finish = 0,1
436,Times: total = 38; boot = -37; init = 75; finish = 0,1
437,Times: total = 37; boot = -62; init = 99; finish = 0,1
438,1166,1
439,Running task {1166} in stage {25.0},1
440,1194,1
441,1199,1
442,"Block broadcast_34_piece0 stored as bytes in memory (estimated size {estimatedSize}, free {freeSpace})",1
443,"Block broadcast_{34} stored as values in memory (estimated size {size}, free {free})",1
444,Times: total = 38; boot = -727; init = 765; finish = 0,1
445,Times: total = 41; boot = -707; init = 748; finish = 0,1
446,"Times: total = 39, boot = -700, init = 739, finish = {0}",1
447,"Times: total = 39, boot = -690, init = 729, finish = {finish}",1
448,Times: total = 41; boot = -699; init = 740; finish = 0,1
449,"Block broadcast_37_piece0 stored as bytes in memory (estimated size {size}, free {free})",1
450,"Block broadcast_37 stored as values in memory (estimated size {size}, free {free})",1
451,"Partition {rdd_42_0} not found, computing it",1
452,"Partition {rdd_42_4} not found, computing it",1
453,"Partition {rdd_42_3} not found, computing it",1
454,"Partition {rdd_42_2} not found, computing it",1
455,"Partition {rdd_42_1} not found, computing it",1
456,"Block broadcast_36 stored as values in memory (estimated size {size}, free {free})",1
457,Times: total = 47; boot = -8758; init = 8800; finish = 5,1
458,"Block {rdd_42_0} stored as bytes in memory (estimated size {913.0 B}, free {804.8 KB})",1
459,"Times: total = {59}, boot = {-8772}, init = {8826}, finish = {5}",1
460,"Block {rdd_42_4} stored as bytes in memory (estimated size {890.0 B}, free {805.7 KB})",1
